Spanish,English
de,of
que,that
no,No
a,to
la,the
el,he
y,and
es,is
en,in
lo,it
por,by
qué,that
me,I
los,the
se,HE
te,tea
con,with
está,is
mi,my
pero,but
sí,Yeah
si,Yeah
bien,good
eso,it's
su,his
yo,I
del,of the
como,as
tu,you
al,to the
más,further
le,you
esto,this
todo,all
estoy,I'm
ahora,now
ha,ha
esta,is
así,So
vamos,come on
algo,something
hay,there is
bueno,Well
tengo,I have
estás,are
sé,HE
tú,you
nos,us
cómo,as
o,either
he,He
ser,be
puedo,I can
ella,she
hacer,do
gracias,thank you
vez,time
era,was
soy,am
sólo,only
todos,all
porque,because
son,are
tienes,have
creo,believe
voy,go
sabes,You know
estaba,was
eres,are
ese,that
usted,you
entonces,so
solo,only
verdad,TRUE
casa,home
tan,so
sus,their
tiempo,time
dos,two
esa,that
nunca,never
dónde,where
va,goes
